Date,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Partner Currency,Advertiser Currency,Clicks,% Clicks Leading to Conversions,Conversions per 1000 Impressions,CPM Fee 1 (Adv Currency),CPM Fee 1 (Partner Currency),CPM Fee 1 (USD),CPM Fee 2 (Adv Currency),CPM Fee 2 (Partner Currency),CPM Fee 2 (USD),Click Rate (CTR),Data Fees (Adv Currency),Data Fees (Partner Currency),Data Fees (USD),Impressions,% Impressions Leading to Conversions,Post-Click Conversions,Post-View Conversions,Media Cost (Advertiser Currency),Media Cost eCPA (PC) (Adv Currency),Media Cost eCPA (PC) (Partner Currency),Media Cost eCPA (PC) (USD),Media Cost eCPA (PV) (Adv Currency),Media Cost eCPA (PV) (Partner Currency),Media Cost eCPA (PV) (USD),Media Cost eCPA (Adv Currency),Media Cost eCPA (Partner Currency),Media Cost eCPA (USD),Video Media Cost eCPCV (Adv Currency),Video Media Cost eCPCV (Partner Currency),Video Media Cost eCPCV (USD),Media Cost eCPC (Adv Currency),Media Cost eCPC (Partner Currency),Media Cost eCPC (USD),Media Cost eCPM (Adv Currency),Media Cost eCPM (Partner Currency),Media Cost eCPM (USD),Media Cost (Partner Currency),Media Cost (USD),Media Fee 1 (Adv Currency),Media Fee 1 (Partner Currency),Media Fee 1 (USD),Media Fee 2 (Adv Currency),Media Fee 2 (Partner Currency),Media Fee 2 (USD),DCM Post-Click Revenue,DCM Post-View Revenue,Profit (Advertiser Currency),Profit eCPM (Adv Currency),Profit eCPM (Partner Currency),Profit eCPM (USD),Profit Margin,Profit (Partner Currency),Profit (USD),Revenue (Adv Currency),Revenue eCPA (PC) (Adv Currency),Revenue eCPA (PC) (Partner Currency),Revenue eCPA (PC) (USD),Revenue eCPA (PV) (Adv Currency),Revenue eCPA (PV) (Partner Currency),Revenue eCPA (PV) (USD),Revenue eCPA (Adv Currency),Revenue eCPA (Partner Currency),Revenue eCPA (USD),Video Revenue eCPCV (Adv Currency),Video Revenue eCPCV (Partner Currency),Video Revenue eCPCV (USD),Revenue eCPC (Adv Currency),Revenue eCPC (Partner Currency),Revenue eCPC (USD),Revenue eCPM (Adv Currency),Revenue eCPM (Partner Currency),Revenue eCPM (USD),Revenue (Partner Currency),Revenue (USD),Complete Views (Video),First-Quartile Views (Video),Fullscreens (Video),Midpoint Views (Video),Audio Mutes (Video),Pauses (Video),Starts (Video),Skips (Video),Third-Quartile Views (Video),Total Conversions,Total Media Cost (Advertiser Currency),Total Media Cost eCPA (PC) (Adv Currency),Total Media Cost eCPA (PC) (Partner Currency),Total Media Cost eCPA (PC) (USD),Total Media Cost eCPA (PV) (Adv Currency),Total Media Cost eCPA (PV) (Partner Currency),Total Media Cost eCPA (PV) (USD),Total Media Cost eCPA (Adv Currency),Total Media Cost eCPA (Partner Currency),Total Media Cost eCPA (USD),Total Video Media Cost eCPCV (Adv Currency),Total Video Media Cost eCPCV (Partner Currency),Total Video Media Cost eCPCV (USD),Total Media Cost eCPC (Adv Currency),Total Media Cost eCPC (Partner Currency),Total Media Cost eCPC (USD),Total Media Cost eCPM (Adv Currency),Total Media Cost eCPM (Partner Currency),Total Media Cost eCPM (USD),Total Media Cost (Partner Currency),Total Media Cost (USD),Completion Rate (Video)
9/20/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,4,0.00%,0,0,0,0,0,0,0,0.36%,0,0,0,1100,0.00%,0,0,4.774874,0,0,0,0,0,0,0,0,0,0,0,0,1.193718,1.193718,0.903636,4.340795,4.340795,3.285951,4.774874,3.614546,0.620734,0.620734,0.469891,0,0,0,0,0,7.804392,7.094902,7.094902,5.370144,59.12%,7.804392,5.907158,13.2,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,2.497899,12,12,9.083268,13.2,9.991595,0,0,0,0,0,0,0,0,0,0,5.395608,0,0,0,0,0,0,0,0,0,0,0,0,1.348902,1.348902,1.021109,4.905098,4.905098,3.713124,5.395608,4.084437,0.00%
8/25/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,2,0.00%,0,0,0,0,0,0,0,0.13%,0,0,0,1545,0.00%,0,0,6.089264,0,0,0,0,0,0,0,0,0,0,0,0,3.044632,3.044632,2.356141,3.941271,3.941271,3.05002,6.089264,4.712281,0.791604,0.791604,0.612597,0,0,0,0,0,11.659132,7.546364,7.546363,5.8393,62.88%,11.659131,9.021719,18.54,0,0,0,0,0,0,0,0,0,0,0,0,9.27,9.27,7.173298,12,12,9.285823,18.54,14.346597,0,0,0,0,0,0,0,0,0,0,6.880868,0,0,0,0,0,0,0,0,0,0,0,0,3.440434,3.440434,2.662439,4.453636,4.453637,3.446523,6.880868,5.324878,0.00%
8/19/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,1,0.00%,0,0,0,0,0,0,0,0.06%,0,0,0,1583,0.00%,0,0,6.447574,0,0,0,0,0,0,0,0,0,0,0,0,6.447574,6.447574,5.023834,4.073009,4.07301,3.173616,6.447574,5.023834,0.838185,0.838185,0.653098,0,0,0,0,0,11.710241,7.397499,7.397499,5.759306,61.63%,11.710241,9.116981,18.996,0,0,0,0,0,0,0,0,0,0,0,0,18.996,18.996,14.793913,12,12,9.345492,18.996,14.793913,0,0,0,0,0,0,0,0,0,0,7.285759,0,0,0,0,0,0,0,0,0,0,0,0,7.285759,7.285759,5.676932,4.602501,4.602501,3.586186,7.285759,5.676932,0.00%
7/22/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,1755,0.00%,0,0,6.750166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846248,3.846249,2.930122,6.750166,5.142364,0.877522,0.877522,0.668507,0,0,0,0,0,13.432312,7.653739,7.653739,5.828791,63.77%,13.432312,10.229528,21.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9.139828,21.06,16.040399,0,0,0,0,0,0,0,0,0,0,7.627688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.346261,4.346261,3.311038,7.627688,5.810871,0.00%
7/29/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,1740,0.00%,0,0,7.341552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.219283,4.219283,3.217543,7.341552,5.598525,0.954402,0.954402,0.727808,0,0,0,0,0,12.584046,7.23221,7.232211,5.5191,60.29%,12.584047,9.603234,20.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9.154923,20.88,15.929567,0,0,0,0,0,0,0,0,0,0,8.295954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76779,4.767789,3.635823,8.295954,6.326333,0.00%
9/21/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,1,0.00%,0,0,0,0,0,0,0,0.09%,0,0,0,1065,0.00%,0,0,5.293206,0,0,0,0,0,0,0,0,0,0,0,0,5.293206,5.293206,4.022009,4.970146,4.970147,3.776535,5.293206,4.022009,0.688117,0.688117,0.522861,0,0,0,0,0,6.798677,6.383734,6.383734,4.852024,53.21%,6.798677,5.167405,12.78,0,0,0,0,0,0,0,0,0,0,0,0,12.78,12.78,9.712276,12,12,9.119508,12.78,9.712276,0,0,0,0,0,0,0,0,0,0,5.981323,0,0,0,0,0,0,0,0,0,0,0,0,5.981323,5.981323,4.544871,5.616266,5.616266,4.267484,5.981323,4.544871,0.00%
8/17/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,3,0.00%,0,0,0,0,0,0,0,0.19%,0,0,0,1608,0.00%,0,0,6.460491,0,0,0,0,0,0,0,0,0,0,0,0,2.153497,2.153497,1.673039,4.017718,4.017718,3.121342,6.460491,5.019118,0.839864,0.839864,0.652485,0,0,0,0,0,11.995645,7.459978,7.459978,5.795803,62.17%,11.995645,9.319652,19.296,0,0,0,0,0,0,0,0,0,0,0,0,6.432,6.432,4.997085,12,12,9.32292,19.296,14.991255,0,0,0,0,0,0,0,0,0,0,7.300355,0,0,0,0,0,0,0,0,0,0,0,0,2.433452,2.433452,1.890534,4.540022,4.540022,3.527116,7.300355,5.671603,0.00%
9/19/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,1128,0.00%,0,0,4.946611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.385293,4.385293,3.328411,4.946611,3.754447,0.643059,0.643059,0.488078,0,0,0,0,0,7.94633,7.044618,7.044618,5.345585,58.70%,7.946329,6.02982,13.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9.106689,13.536,10.272346,0,0,0,0,0,0,0,0,0,0,5.58967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.955382,4.955382,3.761104,5.58967,4.242526,0.00%
9/12/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,1,0.00%,0,0,0,0,0,0,0,0.08%,0,0,0,1286,0.00%,0,0,5.566176,0,0,0,0,0,0,0,0,0,0,0,0,5.566176,5.566176,4.257586,4.328286,4.328286,3.31072,5.566176,4.257586,0.723603,0.723603,0.553486,0,0,0,0,0,9.142221,7.109037,7.109037,5.437109,59.24%,9.142221,6.992122,15.432,0,0,0,0,0,0,0,0,0,0,0,0,15.432,15.432,11.803194,12,12,9.178222,15.432,11.803194,0,0,0,0,0,0,0,0,0,0,6.289779,0,0,0,0,0,0,0,0,0,0,0,0,6.289779,6.289779,4.811072,4.890963,4.890963,3.741113,6.289779,4.811072,0.00%
9/14/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,1251,0.00%,0,0,5.174757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.136496,4.136496,3.140341,5.174757,3.928566,0.672718,0.672718,0.510714,0,0,0,0,0,9.164525,7.325759,7.325759,5.559056,61.04%,9.164525,6.954379,15.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9.107641,15.012,11.393659,0,0,0,0,0,0,0,0,0,0,5.847475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.674241,4.674241,3.548585,5.847475,4.43928,0.00%
